,str1,str2,similarity
0,没戏,没辙,1.0
1,只管,尽管,1.0
2,GDP,生产力,1.0
3,包袱,段子,1.0
4,由此,通过,-inf
5,日期,时间,1.0
6,爱面子,好高骛远,1.0
7,严厉,严谨,9.999999999999988
8,一方面,一边,7.5477079802632465
9,托福,GRE,1.0
10,亏,幸亏,1.0
11,蹩脚,差强人意,1.0
12,容易,顺利,0.9999999999999988
13,悲喜,大悲大喜,1.0
14,老气,土气,1.0
15,狭隘,狭窄,1.0
16,抄袭,克隆,1.0
17,害臊,腼腆,1.0
18,幻境,红楼梦,1.0
19,依稀,清晰,1.0
20,权限,权力,7.183718079230747
21,伟大,壮烈,6.174201742890668
22,娇艳,幽美,1.0
23,理解,理会,1.0
24,酣睡,打鼾,1.0
25,自然,环境,5.938895179158531
26,振兴,建设,1.0600572445772947
27,节日,假日,7.207336066654152
28,的哥,司机,1.0
29,几乎,差点儿,1.0
30,江湖,红尘,1.0
31,路子,后门,1.0
32,牛脾气,我行我素,1.0
33,物品,物质,8.60673465050361
34,塞车,拥挤,1.0
35,面,首,2.158908923749037
36,冷僻,晦涩,1.0
37,免费,便宜,8.25281118022848
38,发票,账单,1.0
39,回收站,垃圾篓,1.0
40,典型,代表,0.9999999999999987
41,必须,必需,10.000000000000002
42,出神,发楞,1.0
43,琢磨,镂刻,1.0
44,身姿,身手,1.0
45,质量,重量,5.9937476669634195
46,事变,后院起火,1.0
47,大小,多少,6.698295474791773
48,信物,证件,1.0
49,牺牲,粉身碎骨,1.0
50,豆蔻年华,黄金时代,1.0
51,血液,红细胞,1.0
52,硅谷,中关村,1.0
53,天赋,技能,1.0
54,酷,爽,1.0
55,旅客,驴友,1.0
56,隆重,重要,2.702971488390935
57,候选人,备胎,1.0
58,平凡,平庸,1.0
59,了不得,好,1.0
60,鸣谢,酬答,1.0
61,线路,行程,7.373919363083099
62,多角度,多元化,1.0
63,要面子,虚荣心,1.0
64,许可证,执照,9.999999999999998
65,是非,方圆,8.438456900605166
66,崛起,凸起,1.0
67,工作日,开放日,1.0
68,大,高,1.7988697307013386
69,吸引力,地磁力,1.0
70,右翼,左派,1.0
71,和谐,平安,8.372873650870211
72,商标,符号,1.0
73,违纪,贪污,6.496287275448184
74,环境,生态,8.169012531037296
75,实践,进行,1.997682748979551
76,买卖,营销,5.358317255147027
77,合理,合理性,7.200565863614583
78,辛勤,夜以继日,1.0
79,手续,过程,3.6982043677822394
80,渣,废品,1.0
81,高峰,山巅,1.0
82,收费,缴纳,7.756873386560163
83,享受,大快朵颐,1.0
84,怯懦,胆小鬼,1.0
85,杂事,闲事,1.0
86,言语,语言,1.0
87,借口,理由,8.656201932464858
88,与,以及,5.013189124664059
89,怯弱,狗熊,1.0
90,惠顾,照顾,1.0
91,迷人,气质,10.0
92,果粉,米粉,1.0
93,榜样,样子,6.963859810614863
94,愚钝,大智若愚,1.0
95,打假,扫黄,9.350451662321358
96,均衡,全面,4.492317951674375
97,制约,收敛,1.0
98,经营者,纳税人,6.538642214536905
99,瘦弱,苗条,1.0
100,前途,道路,5.156307368730975
101,遛弯,走路,1.0
102,爱心,慈善,7.003348753886968
103,光盘,硬盘,1.0
104,一体化,集成化,1.0
105,销魂,陶醉,1.0
106,光荣,流芳百世,1.0
107,观后感,影评,1.0
108,恼怒,愤慨,1.0
109,帮助,赞助,2.829134585510722
110,拥戴,崇拜,10.0
111,扯淡,闲聊,1.0
112,旅程,旅行,1.0
113,男孩,小伙子,8.261400122536173
114,见解,意见,5.136604723926483
115,穷苦,贫穷,1.0
116,生命,性命,1.0
117,滚蛋,滚开,1.0
118,维他命,维生素,1.0
119,多元化,年轻化,1.0
120,宝贵,金子,1.0
121,结构,系统,1.8820428164138598
122,玩偶,工具,1.0
123,丧失,失独,1.0
124,肚量,肚子,1.0
125,娇气,公主,1.0
126,寒暑假,黄金周,1.0
127,笑料,活宝,1.0
128,百货,商场,5.969772079562299
129,信息化,智能化,1.0
130,茶道,茶叶,1.0
131,罪孽,犯人,1.0
132,感冒药,退烧药,1.0
133,难点,问题,5.094845983418876
134,同事,朋友,5.919944661681073
135,名字,姓氏,1.0
136,网站,网页,1.0
137,名誉,名气,5.383172283905607
138,七情六欲,欲望,1.0
139,审理,问讯,1.0
140,工具,器具,8.088500860260032
141,意思,意义,3.773434699870285
142,优惠,降价,5.404757371642221
143,伴随,陪伴,6.8778690605760335
144,尘垢,污秽,1.0
145,猫腻,阴谋诡计,1.0
146,吃醋,争风吃醋,1.0
147,软着陆,经济,1.0
148,生产力,创新,3.6747685560912773
149,上市,盈利,5.68612579120531
150,泼妇,女强人,1.0
151,载体,书本,6.674257159723467
152,地址,小区,5.643806021319286
153,价钱,票房,6.139010921821645
154,表彰,进步,3.510990879844888
155,理论,结论,5.109988752347027
156,烦闷,失眠,1.0
157,亲人,敌人,3.532305258187634
158,跳槽,移动,1.0
159,饮酒,喝茶,1.0
160,财运,桃花运,1.0
161,女权,女性,1.0
162,一般,差,4.026180663605285
163,赌局,扑克牌,1.0
164,宋,明,4.641668872224793
165,雾霾,阴天,1.0
166,程序,指令,6.81312536307098
167,关键字,关键,1.0
168,松驰,疲软,1.0
169,平等,平均,1.0000000000000004
170,经营,张罗,1.0
171,客套,礼貌,1.0
172,利用,使用,5.123351095912485
173,审查,自纠自查,1.0
174,炖,焖,1.0
175,喜欢,崇敬,7.676509948947745
176,暗号,密码,1.0
177,规律,原理,5.6414756293903405
178,轻率,鲁莽,1.0
179,手法,方法,6.07477757485541
180,准则,规则,6.549586567760241
181,迂腐,墨守成规,1.0
182,闯祸,惹是生非,1.0
183,清晰,一清二楚,1.0
184,姐妹,闺蜜,1.0
185,扎实,脚踏实地,7.89255368966296
186,事物,东西,6.341589153278468
187,睡,寐,1.0
188,忌妒,妒嫉,1.0
189,俱乐部,富人,1.0
190,味道,鼻子,1.0
191,绩点,老师,1.0
192,关心,放任,1.0
193,空间,世界,3.2004923873569475
194,僻静,冷静,1.0
195,字符,程序,1.0
196,裁判,足球,6.2864366924276975
197,股票,银行,2.0361890791605393
198,红颜,面容,1.0
199,著名,著作,5.209078440807145
200,可能性,可靠性,6.648496197644977
201,占有,争取,3.6632774881765235
202,合肥,巴黎,4.715344038178466
203,热线,焦点,6.923535869014172
204,影响力,破坏力,1.0
205,温度,湿度,8.57036324095594
206,痛苦,忍辱负重,1.0
207,偶遇,艳遇,1.0
208,公众,媒体,5.228547679312065
209,姑娘,青春,5.19560557036609
210,多媒体,设备,5.258820188783578
211,韩,日,3.7767791775005026
212,钱,利,1.7856814908852632
213,细心,三心二意,1.0
214,博物馆,剧院,6.958612028614327
215,诵读,歌唱,1.0
216,阳光,雨露,1.0
217,竞争,考试,3.154816898185795
218,消灭,灭菌,1.0
219,饭局,交际,1.0
220,媚俗,高雅,1.0
221,密码,账号,9.90030031556976
222,夫人,孩子,2.8743077157864696
223,简化,优化,5.493886630238714
224,侵害,性侵,1.0
225,故事,剧情,7.277883206570289
226,调整,整合,5.898420133991696
227,亲密,缠绵,8.858842367465968
228,创新,发明,5.557384885362467
229,带头,敢为人先,1.0
230,公约,规章,7.628317730646212
231,高大上,超凡脱俗,1.0
232,解闷,排遣,1.0
233,放肆,大胆,1.0
234,合同,协议,5.978408330061495
235,私语,嘀咕,1.0
236,大概,差不多,8.570016478816065
237,比如,譬如,8.170654024018603
238,友善,清新,1.0
239,胆小鬼,兔子,1.0
240,繁荣,泡沫,3.3847172863266874
241,智力,想象,6.428947148897187
242,茶馆,企业,1.0
243,消极,四大皆空,1.0
244,爱怜,同病相怜,1.0
245,激励,缅怀,6.033458311068759
246,灌输,讲解,1.0
247,车辆,行人,6.93255983461957
248,偏见,认知,1.0
249,北京市,成都市,6.821135854232305
250,水果,西红柿,6.68564803736925
251,艺术家,地理学家,1.0
252,干涉,管理,3.27288952487764
253,管理,托管,1.0
254,书籍,图书馆,5.937216628174809
255,框架,组织,3.7314676968341183
256,炮兵,海军,1.0
257,学习,上课,4.630635611615838
258,图书馆,文化宫,1.0
259,欲望,情欲,1.0
260,独立,啃老,1.0
261,同学,同事,7.485228371840678
262,语文,数学,1.0
263,低贱,崇高,1.0
264,海域,渤海湾,1.0
265,奖赏,惩罚,8.74084635178588
266,名称,外号,1.0
267,霸气,气场,1.0
268,数据库,信息,5.9272589526646415
269,波涛,海水,1.0
270,唱,颂,6.552824726637062
271,鬼话,谎言,1.0
272,顺应,附和,1.0
273,较真儿,死板,1.0
274,乐观,阳光,5.197963652073845
275,羞辱,辱,1.0
276,赋予,给予,4.259652479671524
277,伪善,虚伪,1.0
278,在行,熟练,1.0
279,怪异,奇怪,1.0
280,谦卑,谦逊,1.0
281,反应,反响,5.78704555576882
282,过时,落伍,1.0
283,金钱,钱财,1.0
284,种,栽,4.4072060840059395
285,对话框,窗口,1.0
286,弥补,补偿,7.4730978343787395
287,财力,精力,6.21474317239071
288,功夫,素养,6.640634781117676
289,竞争力,鉴赏力,1.0
290,比赛,团队,1.0
291,企业家,作曲家,6.375976992555579
292,素菜,牛肉,1.0
293,报警,报告,4.514099347717361
294,残疾,死亡,4.78895904513436
295,指导,斥责,1.0
296,利润,成本,5.576124133082243
297,思想,智力,4.943433021727682
298,配合,违抗,1.0
299,电话,邮件,5.734207586473588
300,公司,代销店,1.0
301,苹果,香蕉,8.840752296356928
302,盈利,亏损,7.031025154770779
303,公益,善心,1.0
304,总理,主席,1.8377445973543938
305,医生,护士,1.0
306,疼爱,溺爱,1.0
307,新闻界,舆论界,7.215315023623656
308,眺望,展望,1.0
309,发怒,恼羞成怒,1.0
310,执着,倔强,1.0
311,牵强,勉强,1.0
312,散伙,离别,1.0
313,支柱,骨干,5.2688454104942855
314,慰劳,犒赏,1.0
315,心态,心境,8.468628234391131
316,走神,愣,1.0
317,诀窍,秘籍,1.0
318,成果,果实,4.029720350311442
319,恼,怒,1.0
320,犹豫,踟蹰不前,1.0
321,作用,功能,4.1935477101120995
322,怜爱,爱怜,1.0
323,化肥,化学肥料,1.0
324,物流,顺风,1.0
325,皮肤,眼睛,7.5770614138790835
326,印象,大脑,5.555557407342187
327,阶层,皇室,1.0
328,新鲜,空气,6.4805429683648175
329,法庭,律师,7.1136075493052795
330,文章,理论,3.5592662042144463
331,行星,月亮,1.0
332,日记,文章,6.469750681476838
333,食物,水果,6.201556200526016
334,俗,美,1.0
335,会员卡,会员,1.0
336,欧洲,南美洲,1.0
337,风景,山水,8.117484542172738
338,文体,骚体,1.0
339,没劲,兴致勃勃,1.0
340,新浪,腾讯,1.0
341,服装,裙子,1.0
342,凉快,炎热,1.0
343,歌舞,迪斯科,1.0
344,小学生,大中学生,1.0
345,汽车,越野车,1.0
346,团购,购买,1.0
347,平台,环境,4.667856492091981
348,研讨,争论,6.408073009985385
349,演说,说话,7.191835675310875
350,虚拟,编造,1.0
351,高风险,风险,5.579645873863981
352,感动,热泪盈眶,1.0
353,底薪,工资,1.0
354,扶持,提携,1.0
355,有效,有用,1.0
356,圆满,大功告成,1.0
357,邀请,诚邀,1.0
358,破烂,破烂不堪,1.0
359,信誉,信用,8.589639751357456
360,孤单,寂寞,1.0
361,会见,会晤,1.879571261439457
362,背地里,背后,1.0
363,实质,本质,6.985573831535383
364,枯萎,凋零,1.0
365,互联网,因特网,7.664668909175277
366,课程表,课表,1.0
367,洁癖,网瘾,1.0
368,讲座,座位,6.897744419793511
369,粗鲁,文盲,1.0
370,女士,白骨精,1.0
371,电话,设备,3.441228488397439
372,欢迎,迎宾,1.0
373,气温,高温,3.131503901590354
374,成功,失意,1.0
375,积极,消极,5.03050679970491
376,君子,小人,1.0
377,认真,马虎,5.415769085308567
378,北大,清华,9.298540822989082
379,国王,女王,1.0
380,商业,工业,3.4394783091017067
381,闺房,卧室,1.0
382,削减,裁员,7.941413036678908
383,检验,查,5.0969107003916125
384,席位,位置,3.7444248838798915
385,奖励,记功,1.0
386,麻利,灵活,1.0
387,随意,随便,9.230608306932806
388,奋斗,努力,4.886202148309983
389,高兴,兴奋,5.960808841482083
390,猜忌,多疑,1.0
391,轻蔑,藐视,1.0
392,服气,口服心服,1.0
393,入场券,门票,1.0
394,生物钟,地球仪,1.0
395,年级,成绩,3.3728050892201997
396,矩阵,数据,1.0
397,杯子,饮料,1.0
398,杯子,实体,1.0
399,困倦,生病,1.0
400,政敌,情敌,1.0
401,灾区,地震,4.909950785992506
402,生日,蛋糕,7.847114101143364
403,泡沫,肥皂,1.0
404,电影,导演,5.697024767894198
405,学生,老师,5.610820842734319
406,自动,手动,1.0
407,大学,中专,4.389756090110713
408,交易,交换,1.9566158241532043
409,快乐,欣喜若狂,1.0
410,邪念,非分之想,1.0
411,平静,心平气和,1.0
412,任命,委以重任,1.0
413,瞎扯,编造,1.0
414,相信,信赖,6.8065547405956055
415,支部,面部,6.940917302229434
416,正义,人民,3.4088864555144065
417,转基因,大豆,1.0
418,白宫,宿舍,4.247649637889402
419,解释,分解,6.874233888151842
420,自卑感,历史感,1.0
421,距离,速度,4.214840085957814
422,投资者,收入,3.695193610816405
423,网络,硬件,6.14756752510034
424,责任,保险,3.3343958642337297
425,比赛,胜利,1.0
426,亲近感,荣誉感,1.0
427,壁橱,衣服,1.0
428,无用功,效率,1.0
429,课程,学校,4.878980302060025
430,学者,学习,3.056046286842051
431,超市,食品,5.849923341630022
432,家属,丈夫,5.979659621483998
433,国企,私企,1.0
434,勾画,描摹,1.0
435,想法,主意,8.089077026929433
436,美,靓,1.0
437,牢固,坚不可摧,1.0
438,凌乱,乱七八糟,1.0
439,工作,干活儿,1.0
440,恭贺,恭喜,1.0
441,拍马屁,谄谀,1.0
442,PC,计算机,1.0
443,行,可以,3.386625914506636
444,死党,共和党,1.0
445,歌剧,工业,3.0025913256776704
446,轻浮,轻松,1.0
447,职业,教育,5.232320245611966
448,物理,质子,1.0
449,网球,球拍,1.0
450,缓慢,飞快,1.0
451,人民币,美元,5.43612321224452
452,青年,中青年,6.5140692521460535
453,境界,意境,7.288977011961523
454,跋扈,骄横,1.0
455,弘扬,发扬,6.2451204598811945
456,恶劣,坏,6.397261847016149
457,更加,愈发,1.0
458,优秀,出众,1.0
459,计算机,新闻,2.4852720355794014
460,期刊,协会,4.217311756106772
461,纸老虎,狮子,1.0
462,冷静,荒凉,8.250750931428772
463,乡村,故事,3.252833506390036
464,出路,山路,5.743684762260034
465,能源,危机,3.072607420702319
466,房价,面积,1.0
467,龙头,老大,1.0
468,安排,部署,4.256291469917638
469,文明,吸烟者,1.0
470,普及,担当,5.796307091051228
471,困难,自怨自艾,1.0
472,造型,照片,3.603820210198868
473,抠门儿,小气,1.0
474,假货,赝品,1.0
475,拖后腿,拉后腿,1.0
476,天下,气候,5.046981133469196
477,轻,善,7.26105900298239
478,日程,季度,6.737854173813255
479,宇宙,蚂蚁,1.0
480,面包店,绿豆粥,1.0
481,结盟,无理取闹,1.0
482,免税店,飞机,5.857090045773601
483,逃课,创业,1.0
484,态度,秋波,1.0
485,但,但是,7.171943285862401
486,赢,胜,4.259025607392743
487,调查,努力,2.902213197977591
488,玻璃,魔术师,1.0
489,干扰,上网,4.74337452811832
490,课堂,美食,1.0
491,情节,黄色,6.503383383478497
492,计算机,电脑,7.0715348937406155
493,讲价,打架,1.0
494,教授,黄瓜,1.0
495,控制,恐高,1.0
496,阻力,天花板,1.0
497,WTO,世界贸易组织,1.0
498,紫禁城,故宫,1.0
499,算盘,计算机,1.0
